chr	pos	pvalue	maf	conseq
1	921716	.0016563	.499	0
1	924528	.009725	.543	0
1	930751	.0014219	.349	0
1	931362	.001282	.354	0
1	933790	.0066479	.552	0
1	935222	.0038324	.546	0
1	940005	.0012462	.377	0
1	941284	.0024818	.355	0
1	941334	.001352	.354	0
1	941539	.0009507	.378	0
1	943687	.0038391	.359	0
1	943968	.0057964	.527	0
1	944564	.003281	.360	0
1	949608	.0027133	.378	0
1	950243	.00709	.371	0
1	950677	.0067533	.536	0
1	951283	.0058724	.406	0
1	951295	.0031952	.401	0
1	951564	.0056651	.358	0
1	1822889	.0011632	.171	0
1	2144788	.0005962	.683	0
1	2147162	.0008029	.745	0
1	2147874	.0074474	.921	0
1	2149138	.0017986	.749	0
1	2149292	.0056602	.658	0
1	2151579	.00161	.748	0
1	2153574	.0011982	.761	0
1	2157948	.0010001	.559	0
1	2162944	.0050948	.651	0
1	2163568	.0004406	.568	0
1	2164116	.0010847	.561	0
1	2164699	.0048169	.647	0
1	2167149	.0008607	.563	0
1	2169215	.0048028	.644	0
1	2169792	.0050094	.652	0
1	2172917	.0021588	.670	0
1	2172919	.0019857	.669	0
1	2173504	.0039274	.644	0
1	2177727	.0029712	.623	0
1	2178999	.0034837	.624	0
1	2182342	.0052765	.653	0
1	2183754	.0031907	.626	0
1	2184280	.0039633	.656	0
1	2187085	.0028303	.623	0
1	2189196	.0037034	.624	0
1	2189477	.0034476	.626	0
1	2192948	.002163	.627	0
1	2193923	.0029307	.626	0
1	2195117	.0025054	.626	0
1	2200404	.0036186	.623	0
1	2202572	.0033336	.623	0
1	2203490	.0037629	.623	0
1	2206720	.0086496	.939	0
1	2207480	.002167	.632	0
1	2214587	.0087305	.927	0
1	2216391	.0081121	.732	0
1	2222177	.0004079	.810	0
1	2222368	.0014348	.603	0
1	2222497	.0012386	.601	0
1	2222560	.0007086	.819	0
1	2222583	.0007368	.819	0
1	2223123	.0014197	.809	0
1	2223258	.0009176	.819	0
1	2223866	.0008682	.599	0
1	2224282	.0008082	.819	0
1	2224609	.0008765	.820	0
1	2224645	.0007149	.820	0
1	2224836	.0008744	.632	0
1	2225158	.0005466	.814	0
1	2226333	.0006173	.821	0
1	2229447	.0003598	.822	0
1	2229478	.0003182	.811	0
1	2229553	.0004572	.821	0
1	2230799	.0066671	.641	0
1	2232526	.0045567	.924	0
1	2232532	.0000899	.837	0
1	2233312	.0001097	.831	0
1	2234251	.0000736	.827	0
1	2236359	.0001654	.833	0
1	2236614	.001964	.983	0
1	2236697	.0000812	.831	0
1	2240006	6.09e-06	.812	0
1	2243518	.000996	.791	0
1	2243564	.001563	.480	0
1	2245221	.0000625	.720	0
1	2245439	.00004	.725	0
1	2245570	4.78e-06	.686	0
1	2245633	.0000376	.725	0
1	2246287	.0002215	.694	0
1	2246513	.0000374	.670	0
1	2246921	.0013048	.983	0
1	2247399	.0000518	.736	0
1	2247487	.0000669	.734	0
1	2247744	.0025617	.649	0
1	2247985	.0000513	.734	0
1	2249236	.0004677	.744	0
1	2250695	.0060847	.022	0
1	2251119	.0001921	.751	0
1	2251160	.0002201	.750	0
1	2251348	.0001526	.752	0
1	2251357	.0001844	.746	0
1	2251982	.0010352	.769	0
1	2252191	.0009585	.772	0
1	2252205	.0030913	.857	0
1	2252759	.005994	.668	0
1	2253327	.00118	.962	0
1	2273591	.0043469	.975	0
1	2319363	.0066174	.988	0
1	2422614	.009015	.697	0
1	2438768	.0093003	.704	0
1	2439599	.0098876	.709	0
1	2439681	.0089461	.717	0
1	2441020	.0029342	.961	0
1	2729698	.0068612	.957	0
1	2729910	.0069717	.971	0
1	2730712	.0076889	.970	0
1	2731421	.004742	.970	0
1	2732681	.0082913	.972	0
1	2733587	.0076792	.964	0
1	2735418	.0093245	.968	0
1	2735820	.0076748	.968	0
1	2739123	.0045215	.879	0
1	2739379	.0061487	.970	0
1	2741254	.0046757	.971	0
1	2742491	.0047045	.970	0
1	2743008	.0049056	.971	0
